group,name,log2FC,FDR
EOAD,MT3,-0.0569754275395163,0.211400812008109
EOAD,NFASC,-0.044995712168114,0.0374508974731358
EOAD,ALDOA,0.295882193840576,1.2862242942561099e-18
EOAD,LSAMP,-0.021052309658158,0.549319214176793
EOAD,PARK7,0.272490108358774,3.9455306092284103e-25
EOAD,YWHAZ,0.493915369264748,1.3217566284822e-40
EOAD,CXCL16,0.0465917022047415,0.155346586787573
EOAD,SELENBP1,-0.102339407325679,0.0008036577152726
EOAD,PROCR,-0.0813215946732729,0.0387953564799353
EOAD,NCAN,-0.0260921753678369,0.571018531179527
EOAD,NICOL1,-0.0993118116732745,0.0281138820389073
EOAD,DPP7,-0.0803679181436919,0.139085870163343
EOAD,ICOSLG,0.0155126363432822,0.708986971570732
EOAD,PAPLN,0.0303264367432771,0.442090275111214
EOAD,FOLR2,0.012292545885601,0.787843670162743
EOAD,GC,-0.11976322933422,0.0418842074689365
EOAD,HBA1,-0.263243943513831,0.209636650067143
EOAD,IGLV3-19,-0.142225465308603,0.146082989614809
EOAD,FBLN5,0.0777317343866764,4.65454432197717e-05
EOAD,LAMP2,0.0632448584866542,0.0662736015696785
EOAD,NUCB2,-0.0458940873424933,0.253713572236035
EOAD,PDGFB,-0.0829137422376597,0.0083693677950196
EOAD,ITIH2,-0.0852829389951946,0.296170528749075
EOAD,CSF1R,-0.0118450274613862,0.755309186269861
EOAD,PGLYRP2,-0.117532437501183,0.0771311780119315
EOAD,IGHM,-0.097216022039306,0.546099068365992
EOAD,LAMA2,0.0038977559618938,0.886386242639177
EOAD,APLP2,-0.05840262173294,0.0917375848847287
EOAD,AGA,0.0101042365117305,0.843735239336488
EOAD,CFI,-0.146063925371601,0.0019226914456218
EOAD,CD44,0.0549274490242826,0.0523475979346556
EOAD,IGSF8,0.0028710277941822,0.903938564024018
EOAD,CNTNAP4,-0.0584711610271203,0.172031799767904
EOAD,C1QC,-0.0184858943662698,0.57981139891121
EOAD,C1R,-0.0063651615491758,0.842206030282793
EOAD,CPN2,-0.0972037567012519,0.21918901381672
EOAD,AMBP,-0.0516894827535549,0.442090275111214
EOAD,C5,-0.073588479572358,0.34539927601399
EOAD,HEXA,-0.0397740711089538,0.323075530765637
EOAD,DBI,0.084697651408308,0.0004376092119253
EOAD,C1QA,-0.0372739763736821,0.269543828546781
EOAD,NRXN3,-0.0337535941782728,0.223553570622099
EOAD,IGHV3-30,-0.0686645785156059,0.423124137099114
EOAD,C6,-0.0521135554692357,0.484405653601816
EOAD,CLEC3B,0.0211303766452527,0.420370676455844
EOAD,SPARCL1,-0.0385668205445508,0.377996286625861
EOAD,GAP43,0.332603349945061,3.8911393826972705e-15
EOAD,MCAM,-0.0750013147350334,0.0048081425679103
EOAD,SCG2,-0.150460848009863,0.0001104043175142
EOAD,LMAN1,0.0082973373326445,0.740531553398838
EOAD,ADGRB2,-0.123252831771428,0.0020338012106539
EOAD,LTBP4,0.0132447448260525,0.696055118250549
EOAD,IGHG3,-0.0925030516236835,0.449059652092221
EOAD,PON1,-0.142518934416326,0.13853669916981
EOAD,AXL,-0.0486668191956434,0.024360568337647
EOAD,CADM1,-0.0196425621708202,0.447255927434256
EOAD,APOD,-0.0474599152734865,0.233655399376897
EOAD,SPON1,0.145664151427556,3.25475219118219e-09
EOAD,MGAT1,-0.0066759793534202,0.811223569219174
EOAD,SERPINF2,-0.127569000696769,0.0392444104604648
EOAD,CP,-0.113362868521632,0.0264813333781668
EOAD,PCSK1,-0.230920420207991,7.37862309057145e-06
EOAD,CPB2,-0.0794571938330225,0.253713572236035
EOAD,SPARC,-0.0081763983339772,0.818067767414803
EOAD,LYVE1,-0.054545793241888,0.108615260866997
EOAD,IGKC,-0.0864742857952055,0.367799425475868
