group,name,log2FC,FDR
EOAD,MT3,-0.100134973693285,0.530327069982999
EOAD,NFASC,-0.0833446116412998,0.259373713612477
EOAD,ALDOA,0.147356012381099,0.145649954432762
EOAD,LSAMP,-0.0595105418957586,0.558629974625873
EOAD,PARK7,0.094431193625616,0.534481456074998
EOAD,YWHAZ,0.381263561480627,9.69519124412308e-05
EOAD,CXCL16,0.0512322084667073,0.435495032948746
EOAD,SELENBP1,-0.119023391446628,0.1885289188243
EOAD,PROCR,-0.0685811305959843,0.614858545593406
EOAD,NCAN,-0.0694181986566986,0.655425701676896
EOAD,NICOL1,-0.186384812965853,0.146929615248434
EOAD,DPP7,0.0535293646923585,0.796641784247403
EOAD,ICOSLG,-0.133160876234281,0.273424972784547
EOAD,PAPLN,0.0278275165940615,0.816982073655068
EOAD,FOLR2,-0.0334452575815538,0.792874232601788
EOAD,GC,0.0294281284594116,0.909241121249695
EOAD,HBA1,-0.353683509826141,0.755099579431769
EOAD,IGLV3-19,-0.0119576220607361,0.962388372899407
EOAD,FBLN5,0.0111307137893564,0.916591306060938
EOAD,LAMP2,-0.0677647664850745,0.474069019596649
EOAD,NUCB2,0.0302264535927094,0.84561898628221
EOAD,PDGFB,-0.12449570347282,0.0516153004604669
EOAD,ITIH2,-0.0072034265655325,0.980619109836124
EOAD,CSF1R,0.0043293195579331,0.971677779483227
EOAD,PGLYRP2,0.0542591251649149,0.810152738904297
EOAD,IGHM,0.0528929027411662,0.945501353491768
EOAD,LAMA2,0.0087832775489836,0.931342433654293
EOAD,APLP2,-0.0473743633306902,0.74398558258997
EOAD,AGA,-0.0236172399983881,0.874465875351009
EOAD,CFI,-0.0009847263463943,0.992992105866995
EOAD,CD44,0.0954966333595683,0.353172986417992
EOAD,IGSF8,-0.025216850897459,0.65846457324183
EOAD,CNTNAP4,-0.0149143673773591,0.937911973558781
EOAD,C1QC,0.0615887221760524,0.557056137192737
EOAD,C1R,0.0257122823878916,0.810152738904297
EOAD,CPN2,0.0157980394599627,0.956951670536362
EOAD,AMBP,0.0626235372231932,0.826313330303016
EOAD,C5,0.0602474315675938,0.832852463164906
EOAD,HEXA,0.0029248096221251,0.986437967023354
EOAD,DBI,0.0305931425820436,0.764667386600575
EOAD,C1QA,0.0759554651554509,0.361746173514116
EOAD,NRXN3,-0.0088064664958151,0.953138706354856
EOAD,IGHV3-30,0.0315711744087124,0.903498153486583
EOAD,C6,0.0967757331764027,0.637056304614803
EOAD,CLEC3B,-0.0138990871715251,0.869496295859452
EOAD,SPARCL1,-0.0938586527136095,0.347534631516236
EOAD,GAP43,0.146275445329067,0.301045282781758
EOAD,MCAM,-0.0316155586751306,0.856623216896827
EOAD,SCG2,-0.185207719163163,0.163445996387337
EOAD,LMAN1,0.0091530193203139,0.935062676746163
EOAD,ADGRB2,-0.167229548605193,0.151306663256456
EOAD,LTBP4,-0.0010695564215159,0.98875809471073
EOAD,IGHG3,0.200632457677278,0.582206857440196
EOAD,PON1,-0.0915016441947626,0.792874232601788
EOAD,AXL,0.0591564786750881,0.3936679116339
EOAD,CADM1,-0.0058108681691364,0.962295276245956
EOAD,APOD,0.0519703119695626,0.704628240983191
EOAD,SPON1,0.0962133757095494,0.119698018292115
EOAD,MGAT1,0.0154237576984028,0.919518303798976
EOAD,SERPINF2,0.0118078908122618,0.962295276245956
EOAD,CP,0.0398916629167517,0.840655653360893
EOAD,PCSK1,-0.285740290816073,0.0360715116509913
EOAD,CPB2,0.0650165379962247,0.807841091495909
EOAD,SPARC,0.0565997019891873,0.372577730187277
EOAD,LYVE1,-0.169103443440876,0.0719111709438932
EOAD,IGKC,0.0314670270005265,0.903498153486583
EOAD,IGHG4,-0.381688383323542,0.195534129977253
EOAD,CNDP1,-0.0353444786931691,0.85579716170121
EOAD,EFNB2,-0.0578670229172694,0.522043131110112
EOAD,PRRT2,-0.0399747386271664,0.810152738904297
EOAD,RNASET2,0.102209752573922,0.119698018292115
EOAD,PNOC,-0.18392611029984,0.0539157539907368
EOAD,PLTP,0.0737531310404421,0.571436089047302
EOAD,ATRN,-0.0460442458017722,0.540725996085678
EOAD,LGALS1,0.0615295571520308,0.362008206666693
EOAD,OMG,-0.067352509207801,0.50487551290451
EOAD,FAT2,-0.0105326410078041,0.962295276245956
EOAD,AHSG,-0.102678442452347,0.589576013139084
EOAD,IGFBP6,0.0534730718140138,0.826529969266933
EOAD,CFHR2,0.173909461797713,0.423098887323491
EOAD,IGHV3-72,-0.0077810502702384,0.985766928710388
EOAD,NPPC,-0.0282913738011996,0.869496295859452
EOAD,CPE,0.124930378916713,0.106117129757895
EOAD,HSPA8,0.0871496734935657,0.478710868351166
EOAD,C4BPA,-0.0552508166652719,0.903498153486583
EOAD,VTN,0.0003172903869234,0.997411676584208
EOAD,SEMA6A,-0.0018821773483307,0.986437967023354
EOAD,WFDC1,-0.179027453811325,0.163445996387337
EOAD,NPTX1,-0.11652075053731,0.478710868351166
EOAD,PTN,0.125230671678081,0.119698018292115
EOAD,DCN,0.0533241092718846,0.810152738904297
EOAD,MEGF10,-0.0467695334564837,0.664301135230899
EOAD,PSAP,-0.0280353726916442,0.874260091066101
EOAD,GGH,-0.0174437293227164,0.860397936476489
EOAD,F10,0.0288995107399385,0.860397936476489
EOAD,KRT2,-0.0759709890014605,0.869601052991737
EOAD,GALNT2,-0.0005189105270249,0.990353961458667
EOAD,NTNG1,-0.123301877508958,0.235102275267595
EOAD,CD55,-0.0899902816373328,0.360925367295982
EOAD,CD99L2,-0.0933596655583845,0.344310068012265
EOAD,IGHA1,0.194819870271977,0.423098887323491
EOAD,ACYP2,0.0018315049412291,0.98875809471073
EOAD,EFEMP2,0.0093897339939802,0.939441152807546
EOAD,CHI3L1,0.24100715351665,0.0647255662963856
EOAD,FAM3C,-0.0745578934785338,0.673849065681049
EOAD,CRTAC1,-0.0913755017155843,0.152087504033186
EOAD,IL6ST,-0.0144300009746752,0.913956114640467
EOAD,CTSH,0.0477691654079358,0.887210850984517
EOAD,SEMA6D,-0.0538638989711244,0.457012790390723
EOAD,TIMP1,0.024470124490134,0.816571672329958
EOAD,IDS,0.0057798989062447,0.950738586780477
EOAD,SELL,0.0356718831433722,0.874260091066101
EOAD,PROS1,0.0411993614913548,0.663054715917896
EOAD,CYCS,0.0387738361512464,0.856623216896827
EOAD,ADAMTS4,-0.0085469261058203,0.937911973558781
EOAD,NELL2,-0.171075047394695,0.119698018292115
EOAD,TAFA5,-0.0454077512230839,0.777065947444536
EOAD,TNFRSF21,-0.118697021322152,0.133809309735518
EOAD,CTSB,0.012510074356356,0.927990474263451
EOAD,LAMP1,0.0081869510108423,0.960891652630716
EOAD,IGFBP7,0.0689312710678309,0.682887593691529
EOAD,COL3A1,-0.0146755802904351,0.886017107917283
EOAD,KIT,0.0433241076490559,0.815693257456945
EOAD,HSPG2,0.0156797283570727,0.892139412028936
EOAD,IGFBP2,-0.0087628894043943,0.952472859440904
EOAD,PRELP,0.0932508779204784,0.491463244514958
EOAD,C1QB,0.0398546415657685,0.709950850432188
EOAD,GDA,0.132039649674416,0.432885169610442
