group,name,log2FC,FDR
EOAD,LMAN1,-0.0820146066340461,0.51679607214453
EOAD,ADGRB2,-0.327814907476233,0.110280378255723
EOAD,LTBP4,-0.102837270456522,0.524238253008067
EOAD,IGHG3,0.347360768958353,0.600611151561447
EOAD,PON1,0.176228156344159,0.628949065975828
EOAD,AXL,-0.0172696939192472,0.887894947544189
EOAD,CADM1,-0.100116897479589,0.349289719243493
EOAD,APOD,0.0270329443230608,0.870877599138437
EOAD,SPON1,0.0881137017828735,0.413905821317566
EOAD,MGAT1,-0.119698038337285,0.670160832252687
EOAD,SERPINF2,0.40493471804476,0.178822808508243
EOAD,CP,0.383214673047535,0.21807486145177
EOAD,PCSK1,-0.623816257663853,0.217196409003323
EOAD,CPB2,0.517250886523728,0.121480316376723
EOAD,SPARC,-0.0329921460997085,0.802488361049196
EOAD,LYVE1,-0.107404522986508,0.310433225587816
EOAD,IGKC,0.339875255980726,0.339425726979791
EOAD,IGHG4,0.373540817026175,0.592470383049134
EOAD,CNDP1,-0.0355853115598421,0.82619577942947
EOAD,EFNB2,-0.142435736789762,0.198321867254426
EOAD,PRRT2,0.166277239338744,0.231730586442601
EOAD,RNASET2,0.101115829146657,0.626868484645723
EOAD,PNOC,-0.524821409596406,0.0365963222892319
EOAD,PLTP,-0.0681775277922867,0.769120918554674
EOAD,ATRN,0.141106114376278,0.315891188815472
EOAD,LGALS1,0.0883119460004291,0.624157396104564
EOAD,OMG,-0.168083604134972,0.422609549586173
EOAD,FAT2,-0.182856917125363,0.244309825422506
EOAD,AHSG,0.323707828961039,0.333883308711607
EOAD,IGFBP6,0.0774938662595179,0.656521449507206
EOAD,CFHR2,0.554891552076759,0.362080618906046
EOAD,IGHV3-72,0.405756762390459,0.769418326618876
EOAD,NPPC,-0.158164210883555,0.391839671204357
EOAD,CPE,-0.133411474794762,0.250396553580068
EOAD,HSPA8,0.166680184069978,0.151503701098424
EOAD,C4BPA,0.744055965937028,0.315553880424437
EOAD,VTN,0.278602438756231,0.333883308711607
EOAD,SEMA6A,-0.158899069094872,0.499537141924949
EOAD,WFDC1,-0.271730081708307,0.293101131076586
EOAD,NPTX1,-0.284101400410369,0.0356148830037162
EOAD,PTN,0.114278972732754,0.495549753487864
EOAD,DCN,0.0666592566205981,0.732766736441316
EOAD,MEGF10,-0.0642772483322549,0.657525766797822
EOAD,PSAP,-0.0671366744495234,0.59379669338911
EOAD,GGH,-0.0245981078819995,0.881787972728237
EOAD,F10,0.230272740652457,0.280224523269851
EOAD,KRT2,-0.500549836109656,0.520168761059651
EOAD,GALNT2,-0.0024814029188515,0.965238820205911
EOAD,NTNG1,-0.31312242841638,0.238869231202194
EOAD,CD55,-0.0173892654099657,0.856049103735787
EOAD,CD99L2,-0.052755978398646,0.685892910295343
EOAD,IGHA1,0.268450237054859,0.685892910295343
EOAD,ACYP2,0.196619951502898,0.368082418651957
EOAD,EFEMP2,-0.0499449136593535,0.808690409236749
EOAD,CHI3L1,0.259203069972909,0.308023829033728
EOAD,FAM3C,-0.109071322988571,0.362080618906046
EOAD,CRTAC1,-0.108883113783774,0.451933959119917
EOAD,IL6ST,-0.137175358982622,0.21807486145177
EOAD,CTSH,-0.133091407840144,0.633921206756669
EOAD,SEMA6D,-0.142982837152683,0.273620039974466
EOAD,TIMP1,0.021313859253123,0.848182285924621
EOAD,IDS,-0.102650137167064,0.676444151499291
EOAD,SELL,0.213487879326228,0.190347297358635
EOAD,PROS1,0.102538024295727,0.274108084302
EOAD,CYCS,0.116530503324717,0.217196409003323
EOAD,ADAMTS4,0.0646191097900077,0.509926004481828
EOAD,NELL2,-0.214128126312074,0.231730586442601
EOAD,TAFA5,-0.152280030268587,0.0275384874999853
EOAD,TNFRSF21,-0.0605140925761418,0.625924217598652
EOAD,CTSB,-0.0291532370635466,0.833340963658407
EOAD,LAMP1,0.0726750041149726,0.687153679357932
EOAD,IGFBP7,0.0939219687842208,0.684185263632772
EOAD,COL3A1,0.0357902724075672,0.795623081929365
EOAD,KIT,-0.151406217621044,0.287796122573842
EOAD,HSPG2,-0.0407501929067635,0.452195010003777
EOAD,IGFBP2,0.0746910994016083,0.433061979712898
EOAD,PRELP,-0.0648572596159021,0.578298112718049
EOAD,C1QB,0.13170673361516,0.313499705806341
EOAD,GDA,0.365460403681386,0.131865581356783
EOAD,NTM,-0.0753656062666401,0.426283493009268
EOAD,NECTIN1,-0.182000362807075,0.0275384874999853
EOAD,ALCAM,-0.100216850657022,0.269006347587298
EOAD,APOC3,0.171923907177876,0.727411255204692
EOAD,WFIKKN2,0.0376017460227587,0.819866269606406
EOAD,TGFBI,0.0652441565670525,0.685892910295343
EOAD,DNER,-0.10481417323986,0.287796122573842
EOAD,CDH2,-0.0466491631995307,0.698991946741648
EOAD,C1S,0.0353591664391786,0.65246349864727
EOAD,CHGB,-0.35778818861071,0.0140655922301287
EOAD,ALDOC,0.106137083097975,0.239419811487717
EOAD,LYNX1,-0.0931327002087246,0.624157396104564
EOAD,ICAM5,-0.161312231741183,0.409960807442848
EOAD,HPX,0.41703189957814,0.217196409003323
EOAD,LAMB1,0.0687663437366002,0.476993850040552
